ア;a
イ;i
ウ;u
エ;e
オ;o
カ;ka
キ;ki
ク;ku
ケ;ke
コ;ko
サ;sa
シ;shi
ス;su
セ;se
ソ;so
タ;ta
チ;chi
ツ;tsu
テ;te
ト;to
ナ;na
ニ;ni
ヌ;nu
ネ;ne
ノ;no
ハ;ha
ヒ;hi
フ;fu
ヘ;he
ホ;ho
マ;ma
ミ;mi
ム;mu
メ;me
モ;mo
ヤ;ya
ユ;yu
ヨ;yo
ラ;ra
リ;ri
ル;ru
レ;re
ロ;ro
ワ;wa
ン;n
ヲ;wo
ガ;ga
ギ;gi
グ;gu
ゲ;ge
ゴ;go
ザ;za
ジ;ji
ズ;zu
ゼ;ze
ゾ;zo
ダ;da
ヂ;dji
ヅ;dzu
デ;de
ド;do
バ;ba
ビ;bi
ブ;bu
ベ;be
ボ;bo
パ;pa
ピ;pi
プ;pu
ペ;pe
ポ;po
キヤ;kya
キユ;kyu
キヨ;kyo
シヤ;sha
シユ;shu
シヨ;sho
チヤ;cha
チユ;chu
チヨ;cho
ニヤ;nya
ニユ;nyu
ニヨ;nyo
ヒヤ;hya
ヒユ;hyu
ヒヨ;hyo
ミヤ;mya
ミユ;myu
ミヨ;myo
リヤ;rya
リユ;ryu
リヨ;ryo
ギヤ;gya
ギユ;gyu
ギヨ;gyo
ジヤ;ja
ジユ;ju
ジヨ;jo
ビヤ;bya
ビユ;byu
ビヨ;byo
ピヤ;pya
ピユ;pyu
ピヨ;pyo
